arm,run_index,status,model,decision_mode,selected_candidate_id,selected_measurement_id,selected_experiment_id,intervention_family,chemistry_applicability_status,shared_shape_use,admissibility_rule_id,chemistry_domain_violation,unsupported_shortcut,hypothesis_discrimination,voi_score,selected_is_in_tied_top_set,n_cards_removed_by_gate,tool_calls,mandatory_tool_executed,prompt_tokens,completion_tokens,total_tokens,llm_latency_s,recommendation_id,pre_enforcement_payload_hash,input_hash,prompt_hash,candidate_set_hash,run_dir
V5_NO_GATE,1,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,3,True,149443,7306,156749,195.112,EXP_V5_20260922T055312Z_547091ba6a,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,72775d2950650f0d39f25b1cc98855f5eed2f589be7a9d108778650463538cd9,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_001
V5_NO_GATE,2,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,2,True,147929,7633,155562,272.63,EXP_V5_20260922T060250Z_1637563380,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,99bcbae1d7f5430ec8f3536a350176fca8a3d3e9c874c9b22dddf4d8d29c5b38,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_002
V5_NO_GATE,3,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,2,True,148262,8852,157114,303.281,EXP_V5_20260922T061227Z_78ae707e2e,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,45b8ce3aaa09827b94f4d52c6481c46f5883d4accff3393f2c13a16e547b3247,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_003
V5_NO_GATE,4,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,6,True,151540,8532,160072,267.411,EXP_V5_20260922T062204Z_bbd8a691eb,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,694e6e69b383348503c01cea2a680b626ad88bbff9f989adab033a596c9b4175,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_004
V5_NO_GATE,5,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,3,True,149552,7562,157114,252.146,EXP_V5_20260922T063140Z_7e7ba14a19,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,55faf3fb36213e704e2a3def7bf66436184f76a8b136cfd8e1f1bcb222fd10ef,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_005
V5_NO_GATE,6,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,3,True,148913,8610,157523,207.454,EXP_V5_20260922T063915Z_82bf99a2a0,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,2caa3681fd2e3ca2052e4f5e6bb16441fb50d81ffa0e05fc93f28838a7790aa7,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_006
V5_NO_GATE,7,ok,gpt-5.6-luna,discriminating_probe,S1C39,M-HOLD-120,S1C39::M-HOLD-120,acrylic_only,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6175,False,0,3,True,149235,10279,159514,384.15,EXP_V5_20260922T065001Z_9eb64f0046,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,5bc9e1b8118c05f7f42bbd25d7d49568d2b53fa79435ffaa5eb8db06804fd31e,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_007
V5_NO_GATE,8,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,2,True,148616,7923,156539,251.599,EXP_V5_20260922T065729Z_f670f51063,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,72d15c3063db52a021b59733b89037370889483e3ed6f815b9050749fcb8197c,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_008
V5_NO_GATE,9,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,4,True,149372,7243,156615,879.942,EXP_V5_20260922T071604Z_6c1ba949f7,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,dc55604c9300a07f5efac314e69463d7034f70751588e6a15c0adaf264717012,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_009
V5_NO_GATE,10,ok,gpt-5.6-luna,committed_experiment,S1C41,M-HOLD-120,S1C41::M-HOLD-120,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_drift_measurement,False,False,0.666667,0.6925,True,0,3,True,149089,7624,156713,286.511,EXP_V5_20260922T072637Z_36760ba557,21c08bfe7dd0908de0d1fa33fab7c4a5334df391dce60b807c4331d6055cee9c,fa2cd630dde5ba561a16a48a5e1c3d60c199db88eaaff5b0ff65b282fb03d566,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5\series_no_gate_n10\run_010
