hint_id,resin_modifier_fraction_pct,fraction_basis_status,use_as_numeric_anchor,notes
H01,4.8,curated_fraction_not_reverified,true,"Fraction retained as curated example-level total-formulation estimate; raw patent arithmetic should be rechecked before final submission."
H02,5.3,curated_fraction_not_reverified,true,"Fraction retained as curated example-level total-formulation estimate; raw patent arithmetic should be rechecked before final submission."
H03,19.98,current_record_states_total_formulation,true,"Current evidence record explicitly describes the acrylic fraction as approximately 20% of total formulation."
H04,19.37,current_record_states_total_formulation,true,"Current evidence record explicitly treats the value as an overall formulation fraction."
H05,19.57,current_record_states_total_formulation,true,"Current evidence record explicitly treats the value as an overall formulation fraction."
H06,19.78,current_record_states_total_formulation,true,"Current evidence record explicitly treats the value as an overall formulation fraction."
H07,,not_applicable,false,"Context-only polyol-composition evidence; no modifier fraction used for candidate-axis anchoring."
H08,15,reported_addition_level_basis_unverified,false,"The current record reports a 15% preferred acrylic-resin addition level, but the denominator should be verified from the source before treating 15% as a directly commensurate total-formulation anchor."
H09,25,curated_fraction_not_reverified,true,"Current record describes 25 wt% acrylic loading; retain as a coarse anchor pending final source arithmetic check."
H10,25,curated_fraction_not_reverified,true,"Comparator to H09 at matched nominal acrylic loading; denominator should be rechecked from the source table before final submission."
H11,19.8,curated_fraction_not_reverified,true,"Directional stability context; fraction retained as curated formulation estimate rather than an exact local-system optimum."
H12,0,not_applicable,false,"Zero-modifier comparator."
H13,,not_applicable,false,"General guidance only; no exact fraction used as a point estimate."
H14,,not_applicable,false,"Stability-objective context only; no modifier fraction used."
