AC1920,MDI,PDP70,PPG2000,TK100,abstain,acceptance_claim,acceptance_criterion_text,agent_chose_120c,agent_chose_15_60_window,all_mentioned_categories,created_utc,decision_mode,diag_deterministic_rank1_mitigation,diag_judge_raw_mode,diag_judge_raw_selected,diag_planner_intent,diag_proposer_mode,diag_proposer_rank1,diag_robustness_action,diag_robustness_preferred,git_commit,input_hash,level1_thermal_hold_objective,model,n_alternatives,primary_objective_categories,prompt_hash,recommendation_id,recommendation_sha256,run_dir,run_index,run_status,selected_candidate_id,valid,wall_seconds
15.0,16.1525384179,31.923730791,31.923730791,5.0,False,S1C41 mitigates the established 120 C thermal-hold viscosity drift relative to the E5 failure reference without the apparent benefit being explained solely by initial viscosity or uncontrolled realization state.,"Under matched 120 C preparation and state-calibrated comparison, S1C41 must show SI15-60 < 0.515 and SI15-90 < 0.931, with both directions reproduced across independent realizations; initial 120 C viscosity and the 80-130 C response must be reported separately, verified stoichiometry must pass before testing, and predefined processability and repeatability limits must not be exceeded.",True,True,thermal_hold_stability;viscosity_level;realization_state,2026-09-18T09:44:24Z,performance_candidate,S1C40,performance_candidate,S1C41,performance_mitigation,performance_candidate,S1C40,rerank,S1C41,662297bf1fd065c0d628ac052880a531d4ef1200,d8d58f82368be8de92ca42cabb6e59c1a71b4a60f8853d53fadc5762d8897abf,True,gpt-5.6-luna,3,thermal_hold_stability;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T094424Z_5e0679a872,a1c9c4d1fcca33a255f049674a9cc00dc84f413db8d2bdd8c0526fcf5b0bd89d,results\stage1_blind_replay_v3h\arm_b_blind\run_001,1,ok,S1C41,True,243.24
,,,,,True,"Proceed to a bounded full-coverage performance experiment only when the candidate formulation and its comparison are interpretable with respect to stoichiometry, process state, and realization spread.","Before physical adjudication, verify modifier identity, equivalent weight, reactive functionality, formulation denominator, and recalculated NCO:OH; prepare the candidate and an E2/reactive-core control contemporaneously under identical documented processing; predeclare independent preparation count, blocking or randomization, technical replicate structure, numerical SI15-60 and SI15-90 improvemen",True,True,thermal_hold_stability;viscosity_level;realization_state,2026-09-18T09:49:15Z,abstain,S1C40,uncertainty_probe,,performance_mitigation,performance_candidate,S1C41,uncertainty_probe,S1C51,662297bf1fd065c0d628ac052880a531d4ef1200,757c029738d85d3e3a8c6ac27725aa8bd24814c891abca510851ef0b9fef512c,True,gpt-5.6-luna,5,thermal_hold_stability;viscosity_level;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T094915Z_0f3663a258,61bbd68db773a2e1be666549b37ae534a6f226cced66921b51f89d1d58e1fbfe,results\stage1_blind_replay_v3h\arm_b_blind\run_002,2,ok,,True,291.07
17.5,15.6477715924,30.9261142038,30.9261142038,5.0,False,S1C46 provides evidence that the dual-axis modifier region can mitigate local thermal-hold instability under matched process and realization conditions.,"Before physical adjudication, define success as replicate-level lower SI15–60 and SI15–90 for S1C46 than for the exact contemporaneous E2 control, with the direction reproduced in at least two independent realizations, neither S1C46 drift value reaching or exceeding the E5 reference values of 0.515 and 0.931, and no loss of measurable, interpretable viscosity response over 80–130 °C. If the effect",True,True,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2026-09-18T09:55:12Z,uncertainty_probe,S1C40,uncertainty_probe,S1C46,performance_mitigation,performance_candidate,S1C41,uncertainty_probe,S1C46,662297bf1fd065c0d628ac052880a531d4ef1200,0bd08901066140f96347d275386bd15693d31ff8aba946a32ac2a7744bca2f53,True,gpt-5.6-luna,3,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T095512Z_37cc609497,eb50ff5ea13882f11c8d9a4b56f3d9bb52abcd87bfa699aebad2eb4e548597a9,results\stage1_blind_replay_v3h\arm_b_blind\run_003,3,ok,S1C46,True,356.29
15.0,16.1525384179,31.923730791,31.923730791,5.0,False,"Under matched, state-calibrated local conditions, S1C41 reduces thermal-hold viscosity drift without an increase in realization variability that obscures the formulation effect.","After verifying modifier functionality and recalculating NCO:OH, remeasure E1 and E5 with the same protocol and obtain at least three S1C41 realizations. Accept the mitigation claim only if the S1C41 median SI15-60 and SI15-90 are both lower than the matched E5 reference medians, the full time-resolved trajectory shows the same direction, state-anchor calibration is reproducible across realization",True,True,thermal_hold_stability;realization_state,2026-09-18T10:00:39Z,uncertainty_probe,S1C40,uncertainty_probe,S1C41,performance_mitigation,performance_candidate,S1C41,uncertainty_probe,S1C41,662297bf1fd065c0d628ac052880a531d4ef1200,2da21e6f43292ce7148075c8fdbfae0ec2d1d9e9266e359eae37074cd7a6d67d,True,gpt-5.6-luna,3,thermal_hold_stability;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T100039Z_13f905998c,806995fecd5557b179c3f85ee9b716cd0eab8e95cbc4c0d28391f8c5cc1f424e,results\stage1_blind_replay_v3h\arm_b_blind\run_004,4,ok,S1C41,True,326.92
15.0,16.1525384179,31.923730791,31.923730791,5.0,False,S1C41 reduces E5-like thermal-hold viscosity drift while retaining the predeclared usable viscosity range and the supported monotonic temperature response.,"Before physical testing, predeclare the application viscosity-use window, replicate count, minimum reproducible effect threshold, and rule for comparing candidate differences with realization spread. Accept only if the replicate-level S1C41 SI values at both 15-60 min and 15-90 min are lower than the original E5 reference, the improvement meets the predeclared reproducibility/effect-size rule, the",True,True,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2026-09-18T10:04:45Z,performance_candidate,S1C40,performance_candidate,S1C41,performance_mitigation,performance_candidate,S1C40,rerank,S1C41,662297bf1fd065c0d628ac052880a531d4ef1200,1ffba23838049e27806ab62257ed96f21266e91c94be5ac0f3d8f39ee9ec80e5,True,gpt-5.6-luna,3,thermal_hold_stability;temperature_response;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T100445Z_587a61fb3d,23ddf1300e15f087748c8092131cce8f46982358b90f5d4c2b11788ca94ad2f9,results\stage1_blind_replay_v3h\arm_b_blind\run_005,5,ok,S1C41,True,246.39
15.0,16.1525384179,31.923730791,31.923730791,5.0,False,"Under matched process and state conditions, S1C41 reduces the established thermal-hold viscosity drift while retaining an interpretable in-support temperature response and measurable initial viscosity.","Across predeclared independent matched-process realizations, SI15-60 must be no greater than 0.20 and SI15-90 must be no greater than 0.30, both must be lower than the contemporaneous E2-core control and clearly below the E5 reference trajectory under the same protocol, and the 80-130 C response must remain monotonic. Initial and held viscosity values must be recorded at run level, and verified mo",True,True,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2026-09-18T10:09:29Z,performance_candidate,S1C40,performance_candidate,S1C41,performance_mitigation,performance_candidate,S1C40,rerank,S1C41,662297bf1fd065c0d628ac052880a531d4ef1200,21799b9a771521099f2c2e51499fd95ca92c889c6585098a70b86e139b01cbc2,True,gpt-5.6-luna,4,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T100929Z_a7b796ecd9,e0723c37ee5b93728e3dede54c41b62227541b8eb55b622d90188bc607cd07c7,results\stage1_blind_replay_v3h\arm_b_blind\run_006,6,ok,S1C41,True,283.65
15.0,16.1525384179,31.923730791,31.923730791,5.0,False,S1C41 reduces the established thermal-hold instability relative to the matched E2 reactive-core control without achieving the reduction by leaving the locally usable viscosity or temperature-response regime.,"Under the frozen matched process protocol and replicate analysis, the candidate central SI estimate and its predeclared uncertainty bound must be below the E5 reference at both 60 min (0.515) and 90 min (0.931), and the improvement must exceed the matched E2 control repeatability envelope or the predeclared minimum effect threshold. Nominal viscosity and temperature response must remain within num",True,False,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2026-09-18T10:13:50Z,performance_candidate,S1C40,performance_candidate,S1C41,performance_mitigation,performance_candidate,S1C40,rerank,S1C41,662297bf1fd065c0d628ac052880a531d4ef1200,a2e580af092acb1c6fe2e413c2b051d06c699e91a9b89040d40f39905aded990,True,gpt-5.6-luna,3,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T101350Z_45a3929662,e90c193a327af2f6013575017425cc33bdb337c86a52014cf2a374004d1623a1,results\stage1_blind_replay_v3h\arm_b_blind\run_007,7,ok,S1C41,True,261.81
,,,,,True,The uncertainty probe is successful only if the subsequent performance experiment can make an interpretable two-axis thermal-hold mitigation comparison.,"Proceed to the full performance experiment only after the candidate's verified reactive-group accounting and true NCO:OH are documented, a concurrent replicated process-matched E2 reference is specified, complete process-history metadata are captured, one-point 120 C state calibration is defined without normalizing away temporal drift, and quantitative limits for usable initial viscosity, replicat",True,True,thermal_hold_stability;temperature_response;realization_state,2026-09-18T10:19:16Z,abstain,S1C40,uncertainty_probe,,performance_mitigation,performance_candidate,S1C41,uncertainty_probe,S1C41,662297bf1fd065c0d628ac052880a531d4ef1200,b90a3cfc3ac03298056244b7403c4ef4669e8337c389509abc1dcb7a9419777a,True,gpt-5.6-luna,3,thermal_hold_stability;temperature_response;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T101916Z_b1c870a535,320deab8aed087f48db7bbd2b3a6431ece9d34f608d14cdefafd33db1b9671f3,results\stage1_blind_replay_v3h\arm_b_blind\run_008,8,ok,,True,325.98
15.0,16.1525384179,31.923730791,31.923730791,5.0,False,"S1C41 mitigates thermal-hold viscosity drift relative to a matched E2 reactive-core reference without an unacceptable shift in calibrated viscosity level, temperature response, or processability.","Before physical adjudication, predeclare the replicate count, paired or blocked uncertainty estimator, minimum practically meaningful SI reduction, and acceptable viscosity and temperature-response bounds. Accept only if at least two independent S1C41 realizations show lower SI(15-60 min) and SI(15-90 min) than their matched co-prepared E2 controls, with both reductions exceeding the predeclared u",True,True,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2026-09-18T10:23:54Z,performance_candidate,S1C40,performance_candidate,S1C41,performance_mitigation,performance_candidate,S1C40,rerank,S1C41,662297bf1fd065c0d628ac052880a531d4ef1200,9f2e1238dc9ca81f44d8b7c63131a05bbd090e762ec76c106f1116d30d932bfe,True,gpt-5.6-luna,4,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T102354Z_1f98f6b4e7,480e88ba4807a2c50b0eb3e2194415bf35403b6201316dd5ab11419fdc0c5aa5,results\stage1_blind_replay_v3h\arm_b_blind\run_009,9,ok,S1C41,True,277.78
15.0,16.6573052435,32.9213473782,32.9213473782,2.5,False,"S1C40 provides a locally useful thermal-hold mitigation relative to E5 under matched process and realization conditions, without an adverse repeatability or viscosity-level tradeoff.","After one-point state calibration at 120 C and matched process history, require both SI(15-60 min) and SI(15-90 min) for S1C40 to be lower than the measured E5 reference values of 0.515 and 0.931, respectively; strong success additionally requires values at or below the E1 benchmarks of 0.095 and 0.168. Candidate replicate spread at 120 C must not exceed the observed E2 descriptive CV upper benchm",True,True,thermal_hold_stability;temperature_response;viscosity_level;realization_state,2026-09-18T10:28:06Z,performance_candidate,S1C40,performance_candidate,S1C40,performance_mitigation,performance_candidate,S1C35,rerank,S1C40,662297bf1fd065c0d628ac052880a531d4ef1200,55dd6a503a0b22a1f42a1ce2a96cd15a38f930f334b3f5124516339724eb045a,True,gpt-5.6-luna,4,thermal_hold_stability;viscosity_level;realization_state,2081d3bfbf0571474c95e3d65834eea23cff2942b99c1aa6e76aaa57f3cea04c,REC_V3_20260918T102806Z_216fb3bbe6,424d72ffa0275b52ed6c835fba39899b892431b6aadd9e35123905f149da7c67,results\stage1_blind_replay_v3h\arm_b_blind\run_010,10,ok,S1C40,True,251.35
