hint_id,source_id,evidence_locator,application,pattern,resin_modifier_type,resin_modifier_fraction_pct,viscosity_temperature_c,viscosity_value,viscosity_unit,thermal_stability_metric,thermal_stability_value,thermal_stability_unit,candidate_space_role,agent_hint,directness,limitation,source_url
H01,PAT_US5932680A,Example 1,shoe and general assembly bonding,"polyester polyol + PPG425 + tackifying resin + MDI",tackifying resin,4.8,130,22,Pa.s,,,,primary_range,"Tackifying-resin-modified PUR is an externally documented formulation family; do not restrict the search to fully reactive polyol/isocyanate mixtures.",analogy,"Single patent example; does not report thermal-hold drift.",https://patents.google.com/patent/US5932680A/en
H02,PAT_US5932680A,Example 4,shoe and general assembly bonding,"multiple polyester polyols + PPG425 + hydrocarbon resin + MDI",hydrocarbon resin,5.3,110,60,Pa.s,,,,primary_range,"Hydrocarbon resin can coexist with reactive PUR while retaining measurable melt-processability; include a minor tackifier/hydrocarbon-resin axis rather than fixing the modifier at zero.",analogy,"Different polyols and application; no thermal-hold stability trajectory.",https://patents.google.com/patent/US5932680A/en
H03,PAT_US20160215185A1,Example 1 and Table 1,textile lamination,"polyoxypropylene diol + polyester diols + acrylic tackifying resin + MDI",acrylic tackifying resin,19.98,120,5675,mPa.s,,,,primary_range,"Acrylic-tackifying-resin-modified PUR around 20% of the total formulation is externally documented; 20% is therefore a defensible coarse candidate level, not a value inferred from the local follow-up result.",analogy,"Different molecular weights, catalysts and application; viscosity is a single-temperature observation, not a hold-stability measurement.",https://patents.google.com/patent/US20160215185A1/en
H04,PAT_US20160215185A1,Example 2 and Table 1,textile lamination,"polyoxypropylene diol + polyester diols + acrylic tackifying resin + MDI",acrylic tackifying resin,19.37,120,4650,mPa.s,,,,primary_range,"Repeated examples independently anchor an acrylic-resin design level near 20% while preserving melt processability.",analogy,"Different chemistry and process history; no causal stability proof.",https://patents.google.com/patent/US20160215185A1/en
H05,PAT_US20160215185A1,Example 3 and Table 1,textile lamination,"polyoxypropylene diol + polyester diols + acrylic tackifying resin + MDI",acrylic tackifying resin,19.57,120,5217,mPa.s,,,,primary_range,"The external database supports an acrylic-modified formulation family and provides a reproducible anchor around 20% for coarse candidate generation.",analogy,"External analogue only; not evidence for the current formulation's exact optimum.",https://patents.google.com/patent/US20160215185A1/en
H06,PAT_US20160215185A1,Example 4 and Table 1,textile lamination,"polyoxypropylene diol + polyester diols + acrylic tackifying resin + MDI",acrylic tackifying resin,19.78,120,4767,mPa.s,,,,primary_range,"Multiple neighboring examples reduce the chance that the ~20% acrylic-resin level is a one-off literature artifact.",analogy,"No thermal-hold curve and no direct match to AC1920/TK100.",https://patents.google.com/patent/US20160215185A1/en
H07,PAPER_POLYMERS_2022_284,Table 2,footwear upper-to-sole bonding,"PPG-only and PPG/polyester-polyol PUR variants",polyol-composition prior,,120,10000-52500,mPa.s,,,,context,"Large viscosity changes across polyol-composition variants show that composition-level changes can strongly alter melt rheology; formulation-family changes are therefore reasonable when the observed failure is large.",context,"Not a resin-modifier study and not a hold-stability experiment.",
H08,PAPER_CN_ADHESIVES_2025_34_09_54,Abstract and formulation summary,electronic high-temperature bonding,"polyether polyol + polyphenylene-ether polyol + acrylic resin + crystalline polyester polyol + MDI",acrylic resin,15,110,7400,mPa.s,high-temperature aging shear-strength retention,85,%,primary_range,"A peer-reviewed PUR study reported 15% acrylic resin as the overall preferred addition level in its system; this independently supports 15% as a coarse acrylic-axis candidate level.",analogy,"Optimization target was overall high-temperature adhesive performance, not thermal-hold viscosity; chemistry differs from the local system.",https://gxlj.cbpt.cnki.net/portal/journal/portal/client/paper/e77f0e8a3233d57ef7cd8bf2c89f3450
H09,PAT_US6465104B1,Example 10 and Table 3,moisture-curing PUR hot melt,"PPG1000 + PPG2000 + polyester polyol + low-OH acrylic copolymer + MDI",low-OH acrylic copolymer,25,121,"5125->7000",cP,viscosity increase from 0.5 to 8 h,37,%,primary_range;stability_support,"A 25 wt% low-OH acrylic copolymer formulation showed substantially slower viscosity rise than the equal-loading higher-OH acrylic comparator; this supports both a 25% acrylic candidate level and the hypothesis that lower reactive-group density can improve hot-hold stability.",comparative_stability,"Different acrylic chemistry and much longer hold window; does not establish the local mechanism.",https://patents.google.com/patent/US6465104B1/en
H10,PAT_US6465104B1,Example 11 and Table 3,moisture-curing PUR hot melt,"same formulation as Example 10 but higher-OH acrylic copolymer",higher-OH acrylic copolymer,25,121,"9375->16500",cP,viscosity increase from 0.5 to 8 h,76,%,stability_support,"At the same 25 wt% acrylic loading, the higher-OH acrylic analogue exhibited roughly twice the reported 8 h viscosity increase of the low-OH example, making modifier functionality a plausible stability variable rather than loading alone.",comparative_stability,"Patent comparison; acrylic materials are not AC1920 and the result is not a direct local-system measurement.",https://patents.google.com/patent/US6465104B1/en
H11,PAT_US20030022973A1,Table 11 Sample 10C,reactive PUR hot melt,"PPG2025 + PPG4025 + polyester polyol + functional tackifier + MDI",functional tackifier,19.8,121,1820,cP,reported stability,9.5,%,stability_support,"A functional-tackifier-containing formulation had lower reported stability rise than the no-acrylic/no-functional-tackifier comparator in the same example set, supporting the idea that modifier identity can change hot-melt stability.",comparative_context,"Other formulation variables including MDI differ; not an isolated causal comparison.",https://patents.google.com/patent/US20030022973A1/en
H12,PAT_US20030022973A1,Table 11 Sample 10E,reactive PUR hot melt,"PPG2025 + PPG4025 + polyester polyol + MDI; no acrylic polymer or functional tackifier",none,0,121,600,cP,reported stability,15,%,stability_comparator,"The no-acrylic/no-functional-tackifier comparator reported a larger stability value than several modifier-containing examples, providing directional support for a modifier-family hypothesis rather than proof of one optimum.",comparative_context,"MDI and other variables differ across the table; use only as directional evidence.",https://patents.google.com/patent/US20030022973A1/en
H13,PAT_US20070155859A1,General formulation guidance,reactive PUR hot melt,"polyurethane hot melt with optional tackifiers/plasticizers/rheology-control agents",tackifier or rheology modifier,,121,"2000-50000",cP,,,,primary_range,"The patent states that tackifiers and rheology-control agents may be used in small amounts, typically below about 10 wt%, supporting 10% as a conservative upper coarse level for the minor-tackifier axis.",general_guidance,"No specific thermal-hold comparison and no exact match to TK100.",https://patents.google.com/patent/US20070155859A1/en
H14,EP0293602A2,Background and stability objective,reactive hot-melt urethane,"thermally stable reactive hot melt urethane composition",tackifying agent,,,,,viscosity increase during elevated-temperature hold,25,% over 4-10 h,objective_support,"Published formulation art explicitly treats viscosity rise during prolonged hot holding as a design failure mode and cites a preferred stability level of no more than about 25% increase over 4-10 h; this supports thermal-hold stability as an independent design objective.",context,"The time scale is much longer than the local 15-60 min test and should not be converted into a local numerical threshold.",https://patents.google.com/patent/EP0293602A2
