arm,run_index,status,model,decision_mode,selected_candidate_id,selected_measurement_id,selected_experiment_id,intervention_family,chemistry_applicability_status,shared_shape_use,admissibility_rule_id,chemistry_domain_violation,unsupported_shortcut,hypothesis_discrimination,voi_score,selected_is_in_tied_top_set,n_cards_removed_by_gate,tool_calls,mandatory_tool_executed,prompt_tokens,completion_tokens,total_tokens,llm_latency_s,recommendation_id,pre_enforcement_payload_hash,input_hash,prompt_hash,candidate_set_hash,run_dir
V5_NO_GATE,1,ok,gpt-5.6-luna,committed_experiment,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,5,True,162763,9626,172389,210.564,EXP_V5_20260923T014626Z_2b7a119f12,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,aeefe2c1ba00cd016c5a49f4eaa0b4982c6d74ff611eb7698e75decbbeba9331,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_001
V5_NO_GATE,2,ok,gpt-5.6-luna,committed_experiment,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,4,True,160902,8555,169457,163.197,EXP_V5_20260923T041707Z_315a33fa11,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,fc355ba9ab4cdef53c8793ee98a3dd67cc151b5c9990a629b8478507f0cc10cc,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_002
V5_NO_GATE,3,ok,gpt-5.6-luna,committed_experiment,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,4,True,160883,8981,169864,171.982,EXP_V5_20260923T042252Z_b6ee96ed50,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,efff05efc98d1a1d0de95a29838a877dc033beef637196161df53f9c5fc91836,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_003
V5_NO_GATE,4,ok,gpt-5.6-luna,discriminating_probe,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,6,True,163227,8426,171653,162.916,EXP_V5_20260923T042816Z_3df18d825d,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,19ca06df50ce44bf45380293870dcf34a0ca5c5d033f12814fd1b88bf308a23c,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_004
V5_NO_GATE,5,ok,gpt-5.6-luna,discriminating_probe,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,3,True,160153,8769,168922,166.855,EXP_V5_20260923T043404Z_6388daf041,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,2afd20108fff33819cf1c963bdf52418814bcf092fa06bb3970f001eade5abc5,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_005
V5_NO_GATE,6,ok,gpt-5.6-luna,committed_experiment,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,3,True,160821,9753,170574,186.897,EXP_V5_20260923T044008Z_4ad390677b,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,f5fb814404b1d2ab022196ad31e47b195981e082038f042d539ce5d5adbe8c64,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_006
V5_NO_GATE,7,ok,gpt-5.6-luna,committed_experiment,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,5,True,163200,8921,172121,171.271,EXP_V5_20260923T044553Z_7414c8018b,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,89417ae91b9aece8381be8e1dabcd01f2e1563319075a13f046832d323684bb8,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_007
V5_NO_GATE,8,ok,gpt-5.6-luna,committed_experiment,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,5,True,162263,9708,171971,186.43,EXP_V5_20260923T045159Z_ae431736f7,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,67243a2e4a931e8fd7bea2f2c4734d3cb696b8cd6fe0a51dcdd777664ef65ee1,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_008
V5_NO_GATE,9,ok,gpt-5.6-luna,discriminating_probe,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,2,True,159216,9173,168389,178.268,EXP_V5_20260923T045748Z_9e79c729f8,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,87140aefff1e7226329c6a623b68b2330a0b40489c3fc64e6be9ec13a29e9e34,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_009
V5_NO_GATE,10,ok,gpt-5.6-luna,committed_experiment,S1C41,M-SWEEP,S1C41::M-SWEEP,dual_axis_resin_modified,modified_chemistry_unvalidated,verification_only,admissible_direct_shape_verification_measurement,False,False,1.0,0.6875,False,0,3,True,160227,8684,168911,167.231,EXP_V5_20260923T050328Z_7befe8568a,816289f9778615a5bd9c27da4e0e6c7493f66bbd6d89746120ef51f869e1b09f,97f2773f9b6f41c9c1e1f27e1c00e1210832372619bee36133799a4dab96ebe8,489c66da51888dbfd528a36e0b7810c9ede4e3e38102e5735987e9a85538e4c4,54f825939d05a159b93eb39e98ccdd4d3a658b4a31fc8a5fff722770aadd24a1,results\agent_v5_condition_b\series_no_gate_condition_b_n10\run_010
